word,type,inflections,freq
chief,noun,"chief, chiefs",99
chop,noun,"chop, chops",99
dust,noun,"dust, dusts",99
intend,verb,"intend, intended, intending, intends",99
lottery,noun,"lottery, lotteries",99
musical,adjective,musical,99
opening,noun,"opening, openings",99
personality,noun,"personality, personalities",99
publish,verb,"publish, published, publishes, publishing",99
sausage,noun,"sausage, sausages",99
spot,verb,"spot, spots, spotted, spotting",99
underneath,function word,underneath,99
unfair,adjective,"unfair, unfairer, unfairest",99
violent,adjective,"violent, violenter, violentest",99
wizard,noun,"wizard, wizards",99
aboard,adverb,aboard,98
argue,verb,"argue, argued, argues, arguing",98
attempt,verb,"attempt, attempted, attempting, attempts",98
badly,adverb,badly,98
bush,noun,"bush, bushes",98
fold,verb,"fold, folded, folding, folds",98
footage,noun,footage,98
height,noun,"height, heights",98
labor,noun,"labor, labors",98
nephew,noun,"nephew, nephews",98
pass,noun,"pass, passes",98
punk,noun,"punk, punks",98
reaction,noun,"reaction, reactions",98
shy,adjective,"shy, shier, shyer, shiest, shyest",98
cage,noun,"cage, cages",97
civil,adjective,civil,97
colonel,noun,"colonel, colonels",97
courage,noun,courage,97
cure,verb,"cure, cured, cures, curing",97
delightful,adjective,delightful,97
emotion,noun,"emotion, emotions",97
expose,verb,"expose, exposed, exposes, exposing",97
fence,noun,"fence, fences",97
glue,noun,"glue, glues",97
noodle,noun,"noodle, noodles",97
organ,noun,"organ, organs",97
pole,noun,"pole, poles",97
refrigerator,noun,"refrigerator, refrigerators",97
skull,noun,"skull, skulls",97
taxi,noun,"taxi, taxies, taxis",97
touch,noun,"touch, touches",97
airline,noun,"airline, airlines",96
background,noun,"background, backgrounds",96
bravo,interjection,bravo,96
cheek,noun,"cheek, cheeks",96
count,noun,"count, counts",96
expense,noun,"expense, expenses",96
Irish,proper noun,Irish,96
ladder,noun,"ladder, ladders",96
mug,noun,"mug, mugs",96
nickname,noun,"nickname, nicknames",96
pea,noun,"pea, peas",96
principal,noun,"principal, principals",96
rack,noun,"rack, racks",96
session,noun,"session, sessions",96
soldier,noun,"soldier, soldiers",96
urine,noun,urine,96
virgin,noun,"virgin, virgins",96
wander,verb,"wander, wandered, wandering, wanders",96
bump,noun,"bump, bumps",95
carrot,noun,"carrot, carrots",95
chili,noun,"chili, chilis, chile, chiles, chilies, chilli, chillies",95
circus,noun,"circus, circuses",95
former,adjective,former,95
generous,adjective,generous,95
gesture,noun,"gesture, gestures",95
halfway,adverb,halfway,95
inside,adjective,inside,95
ninja,noun,"ninja, ninjas",95
o'clock,adverb,o'clock,95
promise,noun,"promise, promises",95
prostitute,noun,"prostitute, prostitutes",95
round,adverb,round,95
shelter,noun,"shelter, shelters",95
sperm,noun,"sperm, sperms",95
technology,noun,"technology, technologies",95
thanks,noun,thanks,95
agent,noun,"agent, agents",94
ability,noun,"ability, abilities",94
awfully,adverb,awfully,94
cherry,noun,"cherry, cherries",94
discussion,noun,"discussion, discussions",94
documentary,noun,"documentary, documentaries",94
invest,verb,"invest, invested, investing, invests",94
jet,noun,"jet, jets",94
knowledge,noun,knowledge,94
load,noun,"load, loads",94
minister,noun,"minister, ministers",94
motherfucker,noun,"motherfucker, motherfuckers",94
offensive,adjective,offensive,94
promote,verb,"promote, promoted, promotes, promoting",94
retire,verb,"retire, retired, retires, retiring",94
singer,noun,"singer, singers",94
specific,adjective,specific,94
sudden,noun,sudden,94
tuck,verb,"tuck, tucked, tucking, tucks",94
sin,noun,"sin, sins",94
chart,noun,"chart, charts",94
grader,noun,"grader, graders",94
ant,noun,"ant, ants",93
bull,noun,"bull, bulls",93
carefully,adverb,carefully,93
cleaning,noun,"cleaning, cleanings",93
dork,noun,"dork, dorks",93
dummy,noun,"dummy, dummies",93
exam,noun,"exam, exams",93
helicopter,noun,"helicopter, helicopters",93
moustache,noun,"moustache, moustaches",93
rate,noun,"rate, rates",93
recall,verb,"recall, recalled, recalling, recalls",93
reject,verb,"reject, rejected, rejecting, rejects",93
ski,verb,"ski, skied, skiing, skis",93
spy,verb,"spy, spied, spies, spying",93
stress,noun,"stress, stresses",93
therapy,noun,"therapy, therapies",93
travel,noun,"travel, travels",93
upper,adjective,upper,93
very,adjective,very,93
sponge,noun,"sponge, sponges",93
profit,noun,"profit, profits",93
assignment,noun,"assignment, assignments",92
bounce,verb,"bounce, bounced, bounces, bouncing",92
branch,noun,"branch, branches",92
CD,abbreviation,"CD, CDs",92
daily,adjective,daily,92
dice,noun,"dice, dices",92
dignity,noun,"dignity, dignities",92
entirely,adverb,entirely,92
flatter,verb,"flatter, flatters, flattered, flattering",92
form,verb,"form, formed, forming, forms",92
fraud,noun,"fraud, frauds",92
offer,noun,"offer, offers",92
pit,noun,"pit, pits",92
slow,adverb,"slow, slower, slowest",92
status,noun,"status, statuses",92
stroke,noun,"stroke, strokes",92
terrify,verb,"terrify, terrified, terrifies, terrifying",92
thirty-five,numerals,thirty-five,92
yogurt,noun,"yogurt, yoghourt, yoghourts, yoghurt, yoghurts, yogurts",92
random,adjective,random,92
blond,adjective,"blond, blonde, blonder, blondest",92
cube,noun,"cube, cubes",92
alley,noun,"alley, alleys",91
arrange,verb,"arrange, arranged, arranges, arranging",91
coupon,noun,"coupon, coupons",91
ditch,verb,"ditch, ditched, ditches, ditching",91
drunk,adjective,"drunk, drunker, drunkest",91
edge,noun,"edge, edges",91
gamble,verb,"gamble, gambled, gambles, gambling",91
gray,adjective,"gray, grayer, grayest, grey, greyer, greyest",91
hostage,noun,"hostage, hostages",91
inform,verb,"inform, informed, informing, informs",91
likely,adjective,"likely, likelier, likeliest",91
mask,noun,"mask, masks",91
nasty,adjective,"nasty, nastier, nastiest",91
Olympics,proper noun,Olympics,91
panties,noun,panties,91
priest,noun,"priest, priests",91
rock,adjective,rock,91
shine,verb,"shine, shined, shines, shining, shone",91
shower,verb,"shower, showered, showering, showers",91
left,adverb,left,91
capable,adjective,capable,90
corporation,noun,"corporation, corporations",90
delete,verb,"delete, deleted, deletes, deleting",90
dental,adjective,dental,90
engagement,noun,"engagement, engagements",90
entitle,verb,"entitle, entitled, entitles, entitling",90
howdy,interjection,howdy,90
ironic,adjective,ironic,90
movement,noun,"movement, movements",90
piano,noun,"piano, pianos",90
scooter,noun,"scooter, scooters",90
silver,noun,"silver, silvers",90
slightly,adverb,slightly,90
sort,verb,"sort, sorted, sorting, sorts",90
tragic,adjective,tragic,90
underpants,noun,underpants,90
cabinet,noun,"cabinet, cabinets",89
debt,noun,"debt, debts",89
global,adjective,global,89
hereby,adverb,hereby,89
kindergarten,noun,"kindergarten, kindergartens",89
mustard,noun,mustard,89
old-fashioned,adjective,old-fashioned,89
procedure,noun,"procedure, procedures",89
progress,noun,"progress, progresses",89
scale,noun,"scale, scales",89
select,verb,"select, selected, selecting, selects",89
rib,noun,"rib, ribs",89
armed,adjective,armed,88
astronaut,noun,"astronaut, astronauts",88
backyard,noun,"backyard, backyards",88
camp,verb,"camp, camped, camping, camps",88
capture,verb,"capture, captured, captures, capturing",88
cart,noun,"cart, carts",88
casino,noun,"casino, casinos",88
Catholic,proper noun,Catholic,88
chop,verb,"chop, chopped, chopping, chops",88
cleaner,noun,"cleaner, cleaners",88
desert,noun,"desert, deserts",88
ex-boyfriend,noun,"ex-boyfriend, ex-boyfriends",88
executive,noun,"executive, executives",88
foreign,adjective,foreign,88
fully,adverb,fully,88
interview,verb,"interview, interviewed, interviewing, interviews",88
lean,verb,"lean, leaned, leaning, leans",88
louse,noun,"louse, lice, louses",88
march,verb,"march, marched, marches, marching",88
novel,noun,"novel, novels",88
one thousand,numerals,one thousand,88
orange,noun,"orange, oranges",88
sense,verb,"sense, sensed, senses, sensing",88
slice,noun,"slice, slices",88
species,noun,species,88
strip-club,noun,strip-club,88
weigh,verb,"weigh, weighed, weighing, weighs",88
weirdo,noun,"weirdo, weirdos",88
shadow,noun,"shadow, shadows",88
accomplish,verb,"accomplish, accomplished, accomplishes, accomplishing",87
barbecue,noun,"barbecue, barbecues, barbeque, barbeques, BBQ",87
cast,verb,"cast, casting, casts",87
curse,noun,"curse, curses",87
define,verb,"define, defined, defines, defining",87
double,verb,"double, doubled, doubles, doubling",87
equipment,noun,equipment,87
fever,noun,"fever, fevers",87
front,adjective,front,87
gig,noun,"gig, gigs",87
harassment,noun,"harassment, harassments",87
intelligent,adjective,intelligent,87
karate,noun,karate,87
manner,noun,"manner, manners",87
marijuana,noun,"marijuana, marihuana",87
operate,verb,"operate, operated, operates, operating",87
post,verb,"post, posted, posting, posts",87
quest,noun,"quest, quests",87
raise,noun,"raise, raises",87
raisin,noun,"raisin, raisins",87
record,verb,"record, recorded, recording, records",87
religious,adjective,religious,87
skinny,adjective,"skinny, skinnier, skinniest",87
slide,noun,"slide, slides",87
stinky,adjective,"stinky, stinkier, stinkiest",87
sushi,noun,sushi,87
thy,function word,"thy, thine",87
whew,interjection,whew,87
adult,adjective,adult,86
allergic,adjective,allergic,86
appearance,noun,"appearance, appearances",86
cave,noun,"cave, caves",86
drunken,adjective,drunken,86
fireman,noun,"fireman, firemen",86
frame,noun,"frame, frames",86
graduate,verb,"graduate, graduated, graduates, graduating",86
hammer,noun,"hammer, hammers",86
naughty,adjective,"naughty, naughtier, naughtiest",86
nine hundred,numerals,nine hundred,86
salary,noun,"salary, salaries",86
signature,noun,"signature, signatures",86
slap,noun,"slap, slaps",86
special,noun,"special, specials",86
bowl,verb,"bowl, bowled, bowling, bowls",86
border,noun,"border, borders",86
afterwards,adverb,afterwards,85
curtain,noun,"curtain, curtains",85
defeat,verb,"defeat, defeated, defeating, defeats",85
desire,noun,"desire, desires",85
ex-wife,noun,"ex-wife, ex-wives",85
firework,noun,"firework, fireworks",85
habit,noun,"habit, habits",85
lane,noun,"lane, lanes",85
late,adverb,"late, later, latest",85
management,noun,"management, managements",85
mighty,adjective,"mighty, mightier, mightiest",85
Muslim,proper noun,"Muslim, Muslims",85
nanny,noun,"nanny, nannies",85
nicely,adverb,nicely,85
polite,adjective,"polite, politer, politest",85
political,adjective,"political, politically",85
rage,noun,"rage, rages",85
rainbow,noun,"rainbow, rainbows",85
smelly,adjective,"smelly, smellier, smelliest",85
tissue,noun,"tissue, tissues",85
triangle,noun,"triangle, triangles",85
useless,adjective,useless,85
visitor,noun,"visitor, visitors",85
vodka,noun,"vodka, vodkas",85
angle,noun,"angle, angles",84
anonymous,adjective,anonymous,84
calendar,noun,"calendar, calendars",84
comic,noun,"comic, comics",84
dibs,noun,dibs,84
dip,noun,"dip, dips",84
financial,adjective,financial,84
flat,adjective,"flat, flatter, flattest",84
grand,noun,"grand, grands",84
identity,noun,"identity, identities",84
light,adjective,"light, lighter, lightest",84
living,adjective,living,84
register,verb,"register, registered, registering, registers",84
shocking,adjective,shocking,84
shopping,noun,shopping,84
sixth,numerals,"sixth, sixths",84
spoon,noun,"spoon, spoons",84
stop,noun,"stop, stops",84
strawberry,noun,"strawberry, strawberries",84
target,noun,"target, targets",84
teenage,adjective,teenage,84
thick,adjective,"thick, thicker, thickest",84
Web,proper noun,Web,84
whoops,interjection,whoops,84
counter,noun,"counter, counters",84
agency,noun,"agency, agencies",83
carnival,noun,"carnival, carnivals",83
confirm,verb,"confirm, confirmed, confirming, confirms",83
corpse,noun,"corpse, corpses",83
disagree,verb,"disagree, disagreed, disagreeing, disagrees",83
feature,noun,"feature, features",83
firm,noun,"firm, firms",83
fit,noun,"fit, fits",83
hill,noun,"hill, hills",83
hopefully,adverb,hopefully,83
jam,noun,"jam, jams",83
lamb,noun,"lamb, lambs",83
local,noun,"local, locals",83
log,noun,"log, logs",83
party,verb,"party, partied, parties, partying",83
printer,noun,"printer, printers",83
sketch,noun,"sketch, sketches",83
ski,noun,"ski, skis",83
steam,noun,"steam, steams",83
superhero,noun,"superhero, superheroes",83
terribly,adverb,terribly,83
toothbrush,noun,"toothbrush, toothbrushes",83
top,verb,"top, topped, topping, tops",83
council,noun,"council, councils",82
deck,noun,"deck, decks",82
dragon,noun,"dragon, dragons",82
election,noun,"election, elections",82
hah,interjection,hah,82
lack,noun,"lack, lacks",82
lawsuit,noun,"lawsuit, lawsuits",82
lecture,noun,"lecture, lectures",82
mysterious,adjective,mysterious,82
pleasant,adjective,"pleasant, pleasanter, pleasantest",82
pregnancy,noun,"pregnancy, pregnancies",82
professional,noun,"professional, professionals",82
reward,noun,"reward, rewards",82
risk,verb,"risk, risked, risking, risks",82
rose,noun,"rose, roses",82
scientific,adjective,scientific,82
specifically,adverb,specifically,82
tune,noun,"tune, tunes",82
acid,noun,"acid, acids",81
argh,interjection,argh,81
candidate,noun,"candidate, candidates",81
differently,adverb,differently,81
economy,noun,"economy, economies",81
eighty,numerals,"eighty, eighties",81
fee,noun,"fee, fees",81
flame,noun,"flame, flames",81
foundation,noun,"foundation, foundations",81
joint,noun,"joint, joints",81
oy,interjection,oy,81
punishment,noun,"punishment, punishments",81
rally,noun,"rally, rallies",81
reception,noun,"reception, receptions",81
request,noun,"request, requests",81
resist,verb,"resist, resisted, resisting, resists",81
schedule,verb,"schedule, scheduled, schedules, scheduling",81
seven hundred,numerals,seven hundred,81
shock,noun,"shock, shocks",81
sore,adjective,"sore, sorer, sorest",81
suspect,verb,"suspect, suspected, suspecting, suspects",81
union,noun,"union, unions",81
telephone,noun,"telephone, telephones",81
extra,adverb,extra,80
accuse,verb,"accuse, accused, accuses, accusing",80
ape,noun,"ape, apes",80
badge,noun,"badge, badges",80
barn,noun,"barn, barns",80
buck,noun,"buck, bucks",80
catch,noun,"catch, catches",80
divide,verb,"divide, divided, divides, dividing",80
eternity,noun,"eternity, eternities",80
hopeless,adjective,hopeless,80
intervention,noun,"intervention, interventions",80
jam,verb,"jam, jammed, jamming, jams",80
knock,interjection,knock,80
mattress,noun,"mattress, mattresses",80
millionaire,noun,"millionaire, millionaires, millionnaire, millionnaires",80
observe,verb,"observe, observed, observes, observing",80
react,verb,"react, reacted, reacting, reacts",80
speaker,noun,"speaker, speakers",80
spicy,adjective,"spicy, spicier, spiciest",80
stadium,noun,"stadium, stadia, stadiums",80
standard,noun,"standard, standards",80
syndrome,noun,"syndrome, syndromes",80
unhappy,adjective,"unhappy, unhappier, unhappiest",80
vow,noun,"vow, vows",80
will,noun,"will, wills",80
youth,noun,"youth, youths",80
admire,verb,"admire, admired, admires, admiring",79
ambulance,noun,"ambulance, ambulances",79
bonus,noun,"bonus, bonuses",79
commission,noun,"commission, commissions",79
crotch,noun,"crotch, crotches",79
deer,noun,"deer, deers",79
fountain,noun,"fountain, fountains",79
grease,noun,"grease, greases",79
immigrant,noun,"immigrant, immigrants",79
injury,noun,"injury, injuries",79
intense,adjective,"intense, intenser, intensest",79
journal,noun,"journal, journals",79
launch,verb,"launch, launched, launches, launching",79
medal,noun,"medal, medals",79
mile,noun,"mile, miles",79
plant,verb,"plant, planted, planting, plants",79
rescue,verb,"rescue, rescued, rescues, rescuing",79
semester,noun,"semester, semesters",79
tire,noun,"tire, tires",79
worship,verb,"worship, worshiped, worshiping, worships",79
seed,noun,"seed, seeds",79
dot,noun,"dot, dots",79
a.m.,abbreviation,"a.m., am, AM, A.M.",78
alert,noun,"alert, alerts",78
confident,adjective,confident,78
currently,adverb,currently,78
disco,noun,"disco, discos",78
escape,noun,"escape, escapes",78
film,verb,"film, filmed, filming, films",78
found,verb,"found, founds, founding, founded",78
frustrate,verb,"frustrate, frustrated, frustrates, frustrating",78
improve,verb,"improve, improved, improves, improving",78
intercourse,noun,"intercourse, intercourses",78
investment,noun,"investment, investments",78
jelly,noun,"jelly, jellies",78
loan,verb,"loan, loaned, loaning, loans",78
musical,noun,"musical, musicals",78
protest,verb,"protest, protested, protesting, protests",78
seal,verb,"seal, sealed, sealing, seals",78
shock,verb,"shock, shocked, shocking, shocks",78
silent,adjective,"silent, silenter, silentest",78
temperature,noun,"temperature, temperatures",78
testicle,noun,"testicle, testicles",78
typical,adjective,typical,78
unusual,adjective,unusual,78
approach,verb,"approach, approached, approaches, approaching",77
April,proper noun,"April, Aprils",77
attempt,noun,"attempt, attempts",77
bow,noun,"bow, bows",77
castle,noun,"castle, castles",77
dine,verb,"dine, dined, dines, dining",77
fiance,noun,"fiance, fiances",77
goo,noun,goo,77
governor,noun,"governor, governors",77
lotion,noun,"lotion, lotions",77
measure,verb,"measure, measured, measures, measuring",77
modern,adjective,modern,77
necklace,noun,"necklace, necklaces",77
nor,function word,nor,77
orgasm,noun,"orgasm, orgasms",77
poetry,noun,poetry,77
reasonable,adjective,reasonable,77
run,noun,"run, runs",77
scam,noun,"scam, scams",77
shift,noun,"shift, shifts",77
sneaker,noun,"sneaker, sneakers",77
straighten,verb,"straighten, straightened, straightening, straightens",77
tap,verb,"tap, tapped, tapping, taps",77
track,verb,"track, tracked, tracking, tracks",77
unlike,function word,unlike,77
bench,noun,"bench, benches",76
blowjob,noun,"blowjob, blowjobs",76
championship,noun,"championship, championships",76
Coke,proper noun,Coke,76
darkness,noun,"darkness, darknesses",76
diary,noun,"diary, diaries",76
figure,noun,"figure, figures",76
guilt,noun,"guilt, guilts",76
horny,adjective,"horny, hornier, horniest",76
intimate,adjective,intimate,76
laughter,noun,laughter,76
lend,verb,"lend, lending, lends, lent",76
organization,noun,"organization, organizations",76
outside,noun,"outside, outsides",76
purple,adjective,"purple, purpler, purplest",76
rice,noun,"rice, rices",76
seminar,noun,"seminar, seminars",76
senior,adjective,senior,76
shape,verb,"shape, shaped, shapes, shaping",76
sheep,noun,sheep,76
sweat,noun,"sweat, sweats",76
upside,noun,"upside, upsides",76
vehicle,noun,"vehicle, vehicles",76
seventy,numerals,"seventy, seventies",76
achieve,verb,"achieve, achieved, achieves, achieving",75
addiction,noun,"addiction, addictions",75
architecture,noun,"architecture, architectures",75
certain,adjective,certain,75
demon,noun,"demon, demons",75
dry-cleaner,noun,"dry-cleaner, dry-cleaners",75
dumbass,noun,"dumbass, dumbasses",75
freezer,noun,"freezer, freezers",75
guide,noun,"guide, guides",75
harm,noun,"harm, harms",75
honk,verb,"honk, honked, honking, honks",75
install,verb,"install, installed, installing, installs",75
mascot,noun,"mascot, mascots",75
massive,adjective,massive,75
metal,noun,"metal, metals",75
nest,noun,"nest, nests",75
nineteen,numerals,"nineteen, nineteens",75
possibility,noun,"possibility, possibilities",75
praise,verb,"praise, praised, praises, praising",75
prescription,noun,"prescription, prescriptions",75
produce,verb,"produce, produced, produces, producing",75
salmon,noun,"salmon, salmons",75
surround,verb,"surround, surrounded, surrounding, surrounds",75
tragedy,noun,"tragedy, tragedies",75
trip,verb,"trip, tripped, tripping, trips",75
troll,noun,"troll, trolls",75
tune,verb,"tune, tuned, tunes, tuning",75
wagon,noun,"wagon, wagons",75
whisper,verb,"whisper, whispered, whispering, whispers",75
yummy,adjective,"yummy, yummier, yummiest",75
ban,verb,"ban, banned, banning, bans",74
bind,verb,"bind, binding, binds, bound",74
brand-new,adjective,brand-new,74
butterfly,noun,"butterfly, butterflies",74
cast,noun,"cast, casts",74
ceiling,noun,"ceiling, ceilings",74
constantly,adverb,constantly,74
elbow,noun,"elbow, elbows",74
electricity,noun,electricity,74
exchange,noun,"exchange, exchanges",74
grass,noun,"grass, grasses",74
misunderstanding,noun,"misunderstanding, misunderstandings",74
reunion,noun,"reunion, reunions",74
rush,noun,"rush, rushes",74
sacred,adjective,sacred,74
sergeant,noun,"sergeant, sergeants",74
solo,noun,"solo, soli, solos",74
syrup,noun,"syrup, syrups",74
therefore,function word,therefore,74
timing,noun,"timing, timings",74
where,function word,where,74
whistle,noun,"whistle, whistles",74
knight,noun,"knight, knights",74
awful,adverb,awful,73
ballet,noun,"ballet, ballets",73
blade,noun,"blade, blades",73
blast,noun,"blast, blasts",73
celebration,noun,"celebration, celebrations",73
cheesecake,noun,"cheesecake, cheesecakes",73
communicate,verb,"communicate, communicated, communicates, communicating",73
cough,noun,"cough, coughs",73
cripple,verb,"cripple, crippled, cripples, crippling",73
dozen,numerals,"dozen, dozens",73
fall,noun,"fall, falls",73
following,adjective,following,73
goddamn,interjection,"goddamn, goddam",73
heel,noun,"heel, heels",73
hold,noun,"hold, holds",73
lad,noun,"lad, lads",73
noon,noun,"noon, noons",73
onion,noun,"onion, onions",73
pound,verb,"pound, pounded, pounding, pounds",73
relieve,verb,"relieve, relieved, relieves, relieving",73
saving,noun,"saving, savings",73
scheme,noun,"scheme, schemes",73
silence,noun,"silence, silences",73
skate,verb,"skate, skated, skates, skating",73
twenty-two,numerals,twenty-two,73
volunteer,verb,"volunteer, volunteered, volunteering, volunteers",73
application,noun,"application, applications",72
cinnamon,noun,"cinnamon, cinnamons",72
coconut,noun,"coconut, coconuts",72
construction,noun,"construction, constructions",72
curse,verb,"curse, cursed, curses, cursing",72
Easter,proper noun,"Easter, Easters",72
ex-girlfriend,noun,"ex-girlfriend, ex-girlfriends",72
explore,verb,"explore, explored, explores, exploring",72
frame,verb,"frame, framed, frames, framing",72
highway,noun,"highway, highways",72
imply,verb,"imply, implied, implies, implying",72
pottery,noun,"pottery, potteries",72
soak,verb,"soak, soaked, soaking, soaks",72
sticker,noun,"sticker, stickers",72
survivor,noun,"survivor, survivors",72
task,noun,"task, tasks",72
yoga,noun,yoga,72
beast,noun,"beast, beasts",71
biology,noun,"biology, biologies",71
carve,verb,"carve, carved, carves, carving",71
destiny,noun,"destiny, destinies",71
detention,noun,"detention, detentions",71
direct,verb,"direct, directed, directing, directs",71
drill,noun,"drill, drills",71
firm,adjective,"firm, firmer, firmest",71
grill,verb,"grill, grilled, grilling, grills",71
potential,adjective,potential,71
rehearsal,noun,"rehearsal, rehearsals",71
related,adjective,related,71
ribbon,noun,"ribbon, ribbons",71
spaghetti,noun,spaghetti,71
stress,verb,"stress, stressed, stresses, stressing",71
stuffing,noun,"stuffing, stuffings",71
surely,adverb,surely,71
twenty-three,numerals,twenty-three,71
drum,noun,"drum, drums",70
accountant,noun,"accountant, accountants",70
chill,verb,"chill, chilled, chilling, chills",70
coaster,noun,"coaster, coasters",70
conditioner,noun,"conditioner, conditioners",70
cone,noun,"cone, cones",70
deaf,adjective,"deaf, deafer, deafest",70
dismiss,verb,"dismiss, dismissed, dismisses, dismissing",70
dive,verb,"dive, dived, dives, diving, dove",70
error,noun,"error, errors",70
file,verb,"file, filed, files, filing",70
fly,noun,"fly, flies",70
hers,function word,hers,70
jewelry,noun,"jewelry, jewelries",70
mercy,noun,"mercy, mercies",70
naturally,adverb,naturally,70
nickel,noun,"nickel, nickels",70
object,noun,"object, objects",70
scissors,noun,scissors,70
secretly,adverb,secretly,70
smack,verb,"smack, smacked, smacking, smacks",70
supportive,adjective,supportive,70
suspect,noun,"suspect, suspects",70
tick,verb,"tick, ticked, ticking, ticks",70
waffle,noun,"waffle, waffles",70
way,adverb,way,70
wicked,adjective,"wicked, wickeder, wickedest",70
wisdom,noun,"wisdom, wisdoms",70
woo,interjection,woo,70
essay,noun,"essay, essays",70
land,noun,"land, lands",69
audition,verb,"audition, auditioned, auditioning, auditions",69
butler,noun,"butler, butlers",69
cash,verb,"cash, cashed, cashes, cashing",69
deadly,adjective,deadly,69
delicate,adjective,delicate,69
document,noun,"document, documents",69
emotionally,adverb,emotionally,69
establish,verb,"establish, established, establishes, establishing",69
flute,noun,"flute, flutes",69
gorilla,noun,"gorilla, gorillas",69
groom,noun,"groom, grooms",69
horror,noun,"horror, horrors",69
humanity,noun,"humanity, humanities",69
maker,noun,"maker, makers",69
martini,noun,"martini, martinis",69
mud,noun,"mud, muds",69
needy,adjective,"needy, needier, neediest",69
psychic,noun,"psychic, psychics",69
reduce,verb,"reduce, reduced, reduces, reducing",69
retarded,adjective,retarded,69
return,noun,"return, returns",69
rod,noun,"rod, rods",69
rubber,noun,"rubber, rubbers",69
rug,noun,"rug, rugs",69
steer,verb,"steer, steered, steering, steers",69
symbol,noun,"symbol, symbols",69
testify,verb,"testify, testified, testifies, testifying",69
thirsty,adjective,"thirsty, thirstier, thirstiest",69
traditional,adjective,traditional,69
try,noun,"try, tries",69
twin,adjective,twin,69
succeed,verb,"succeed, succeeded, succeeding, succeeds",69
mob,noun,"mob, mobs",69
basic,adjective,basic,68
behalf,noun,"behalf, behalves",68
booty,noun,"booty, booties",68
bridesmaid,noun,"bridesmaid, bridesmaids",68
chore,noun,"chore, chores",68
coin,noun,"coin, coins",68
correct,verb,"correct, corrected, correcting, corrects",68
crowded,adjective,crowded,68
envelope,noun,"envelope, envelopes",68
exciting,adjective,exciting,68
greetings,interjection,greetings,68
living,noun,"living, livings",68
medication,noun,"medication, medications",68
necessarily,adverb,necessarily,68
organize,verb,"organize, organized, organizes, organizing",68
overreact,verb,"overreact, overreacted, overreacting, overreacts",68
pageant,noun,"pageant, pageants",68
press,noun,"press, presses",68
principle,noun,"principle, principles",68
rabbi,noun,"rabbi, rabbis",68
reward,verb,"reward, rewarded, rewarding, rewards",68
sneeze,verb,"sneeze, sneezed, sneezes, sneezing",68
tasty,adjective,"tasty, tastier, tastiest",68
tobacco,noun,"tobacco, tobaccoes, tobaccos",68
volunteer,noun,"volunteer, volunteers",68
whee,interjection,whee,68
facility,noun,"facility, facilities",68
skirt,noun,"skirt, skirts",68
dedicate,verb,"dedicate, dedicated, dedicates, dedicating",67
despite,function word,despite,67
download,verb,"download, downloaded, downloading, downloads",67
fetus,noun,"fetus, fetuses",67
frighten,verb,"frighten, frightened, frightening, frightens",67
grateful,adjective,grateful,67
gravity,noun,"gravity, gravities",67
hail,verb,"hail, hailed, hailing, hails",67
handle,noun,"handle, handles",67
hay,noun,"hay, hays",67
hideous,adjective,hideous,67
hobby,noun,"hobby, hobbies",67
legally,adverb,legally,67
lighting,noun,"lighting, lightings",67
lobby,noun,"lobby, lobbies",67
lung,noun,"lung, lungs",67
musician,noun,"musician, musicians",67
petty,adjective,"petty, pettier, pettiest",67
plot,noun,"plot, plots",67
poison,verb,"poison, poisoned, poisoning, poisons",67
presence,noun,"presence, presences",67
promotion,noun,"promotion, promotions",67
radioactive,adjective,radioactive,67
relief,noun,"relief, reliefs",67
resource,noun,"resource, resources",67
sailor,noun,"sailor, sailors",67
sober,adjective,"sober, soberer, soberest",67
sofa,noun,"sofa, sofas",67
switch,noun,"switch, switches",67
tavern,noun,"tavern, taverns",67
toaster,noun,"toaster, toasters",67
annual,adjective,annual,66
bathe,verb,"bathe, bathed, bathes, bathing",66
bully,verb,"bully, bullied, bullies, bullying",66
burrito,noun,"burrito, burritos",66
catalog,noun,"catalog, catalogs, catalogue, catalogues",66
cheerleader,noun,"cheerleader, cheerleaders",66
combination,noun,"combination, combinations",66
combine,verb,"combine, combined, combines, combining",66
complete,verb,"complete, completed, completes, completing",66
conclusion,noun,"conclusion, conclusions",66
cotton,noun,"cotton, cottons",66
crab,noun,"crab, crabs",66
damage,verb,"damage, damaged, damages, damaging",66
erase,verb,"erase, erased, erases, erasing",66
fairly,adverb,fairly,66
fund,noun,"fund, funds",66
hog,verb,"hog, hogged, hogging, hogs",66
hurricane,noun,"hurricane, hurricanes",66
July,proper noun,"July, Julys",66
mansion,noun,"mansion, mansions",66
motorcycle,noun,"motorcycle, motorcycles",66
off,adverb,off,66
pigeon,noun,"pigeon, pigeons",66
politics,noun,politics,66
proper,adjective,"proper, properer, properest",66
qualify,verb,"qualify, qualified, qualifies, qualifying",66
receptionist,noun,"receptionist, receptionists",66
recover,verb,"recover, recovered, recovering, recovers",66
release,noun,"release, releases",66
sarcasm,noun,"sarcasm, sarcasms",66
sheriff,noun,"sheriff, sheriffs",66
shoo,interjection,shoo,66
soy,noun,"soy, soya",66
suspicious,adjective,suspicious,66
sweaty,adjective,"sweaty, sweatier, sweatiest",66
technique,noun,"technique, techniques",66
thigh,noun,"thigh, thighs",66
toxic,adjective,toxic,66
twenty-seven,numerals,twenty-seven,66
